Thumb,Index,Middle,Ring,Small,Palm,Command
824,701,813,720,812,866,C0
823,773,811,720,810,864,C0
823,804,810,720,810,862,C0
825,791,813,721,811,867,C0
823,800,811,719,809,864,C0
822,814,810,719,808,863,C0
824,798,813,722,810,866,C0
822,797,810,719,809,864,C0
822,813,809,719,808,863,C0
822,801,814,721,810,865,C0
821,794,810,719,809,863,C0
822,810,808,717,807,860,C0
824,805,811,721,809,864,C0
822,793,811,720,809,864,C0
821,808,808,719,808,862,C0
823,808,812,721,810,865,C0
823,792,811,721,809,864,C0
822,807,808,719,809,862,C0
822,812,812,720,808,865,C0
823,791,811,721,809,864,C0
821,804,810,720,809,863,C0
823,814,809,720,808,862,C0
823,791,812,721,810,866,C0
822,804,809,719,808,862,C0
822,814,810,720,808,863,C0
824,794,812,722,811,866,C0
822,799,811,719,807,863,C0
821,815,809,719,808,862,C0
825,798,813,722,810,867,C0
822,797,809,719,808,863,C0
821,813,808,719,808,862,C0
824,801,812,721,809,865,C0
822,795,810,719,809,863,C0
820,811,808,717,806,861,C0
823,803,812,721,808,865,C0
822,791,810,720,807,863,C0
820,808,806,717,805,862,C0
822,806,811,720,809,865,C0
823,791,811,720,807,865,C0
821,805,808,719,806,863,C0
821,809,811,720,807,864,C0
822,790,810,721,808,864,C0
822,803,810,718,806,863,C0
821,811,808,719,806,863,C0
823,790,812,721,808,866,C0
820,800,809,719,806,863,C0
820,813,809,718,806,863,C0
824,793,813,720,808,867,C0
822,797,809,718,805,863,C0
820,812,808,719,805,863,C0
823,798,813,721,807,866,C0
820,796,810,719,805,863,C0
820,812,808,719,805,863,C0
822,800,811,721,807,866,C0
822,792,810,719,806,866,C0
821,811,807,718,804,862,C0
822,804,811,720,807,866,C0
821,791,810,719,807,865,C0
819,807,808,718,805,864,C0
821,808,810,719,807,867,C0
821,790,810,719,806,866,C0
820,804,809,718,806,864,C0
820,810,811,719,806,864,C0
820,789,811,720,806,866,C0
820,802,809,719,806,864,C0
819,810,808,719,804,863,C0
822,790,812,721,807,867,C0
820,800,808,718,805,864,C0
820,812,808,718,805,863,C0
822,794,812,721,808,867,C0
821,797,809,718,805,864,C0
821,813,808,718,806,863,C0
824,798,812,720,808,866,C0
822,795,809,719,805,864,C0
821,813,808,717,805,863,C0
822,801,811,720,806,866,C0
821,793,810,719,805,864,C0
820,808,807,717,804,861,C0
823,804,810,720,806,867,C0
822,792,810,718,806,865,C0
823,806,809,718,805,863,C0
823,809,811,719,806,864,C0
822,791,810,719,806,865,C0
820,804,808,717,805,864,C0
822,812,810,719,806,863,C0
822,790,811,719,806,865,C0
821,802,809,718,805,863,C0
821,813,808,718,805,862,C0
825,794,812,719,807,867,C0
822,802,808,718,805,863,C0
821,814,809,717,805,863,C0
824,796,812,720,807,867,C0
821,797,809,718,805,864,C0
822,815,808,718,804,863,C0
824,798,811,721,806,866,C0
824,795,809,719,805,863,C0
822,814,808,718,804,863,C0
825,803,812,721,806,865,C0
824,795,809,719,805,864,C0
822,812,806,717,803,862,C0
825,807,810,720,806,866,C0
824,793,810,719,805,865,C0
822,807,808,717,804,863,C0
825,812,811,719,805,865,C0
825,793,809,720,805,866,C0
824,809,808,718,804,863,C0
824,814,809,719,804,863,C0
824,792,810,720,805,866,C0
822,805,808,718,804,864,C0
822,814,808,718,804,863,C0
827,794,811,719,805,867,C0
823,803,809,719,804,863,C0
824,815,808,718,803,863,C0
827,797,811,721,805,867,C0
824,801,808,719,804,863,C0
824,816,807,718,803,862,C0
826,801,810,720,806,866,C0
824,796,809,718,804,864,C0
823,814,807,718,803,862,C0
826,804,810,720,804,865,C0
825,796,809,719,803,863,C0
822,811,806,717,802,861,C0
825,808,810,719,804,865,C0
826,794,809,719,803,864,C0
823,811,807,718,801,862,C0
826,811,810,719,804,865,C0
825,793,809,719,803,865,C0
824,810,805,718,802,862,C0
826,815,809,720,802,862,C0
826,793,809,720,803,865,C0
825,806,807,719,802,862,C0
823,815,807,719,803,862,C0
827,795,810,721,805,866,C0
825,804,808,719,802,864,C0
826,817,807,719,802,862,C0
827,799,810,722,804,866,C0
825,801,807,719,802,863,C0
826,817,807,718,801,862,C0
827,801,810,721,803,865,C0
825,799,808,719,802,863,C0
825,816,806,719,801,862,C0
826,804,809,721,803,864,C0
825,796,808,720,802,863,C0
818,809,805,718,800,860,C0
825,806,809,721,802,866,C0
825,794,808,720,802,865,C0
824,809,806,719,801,863,C0
825,811,808,720,803,865,C0
824,793,808,720,803,865,C0
823,808,806,719,802,864,C0
825,814,808,721,802,865,C0
825,792,808,720,803,867,C0
823,804,806,719,802,864,C0
822,814,805,719,801,863,C0
826,794,810,721,802,867,C0
823,802,806,719,802,864,C0
821,813,805,719,801,863,C0
824,797,809,721,803,867,C0
823,800,807,719,801,864,C0
824,815,805,719,801,863,C0
826,800,809,721,802,866,C0
823,797,806,719,801,864,C0
822,814,805,718,801,862,C0
823,802,809,721,803,865,C0
822,794,807,720,801,864,C0
821,808,804,717,800,860,C0
824,805,807,721,802,864,C0
823,793,807,719,801,864,C0
822,808,804,719,800,862,C0
824,810,808,720,801,864,C0
824,791,807,720,801,864,C0
823,808,805,718,799,862,C0
824,812,807,720,801,863,C0
822,790,808,720,801,865,C0
822,804,807,719,800,863,C0
822,811,806,717,800,862,C0
824,793,810,721,801,865,C0
823,802,806,719,799,863,C0
821,813,806,719,800,861,C0
824,795,810,721,802,866,C0
823,798,806,719,800,862,C0
822,814,806,719,799,861,C0
825,798,810,721,802,865,C0
822,797,806,719,800,862,C0
821,812,805,718,800,860,C0
823,801,809,720,801,864,C0
823,795,806,719,800,863,C0
820,811,804,717,798,860,C0
823,803,807,720,800,863,C0
823,791,806,720,800,863,C0
821,809,804,717,798,861,C0
822,807,807,721,801,863,C0
823,791,807,720,800,863,C0
821,807,805,719,799,861,C0
822,810,807,720,801,863,C0
822,791,807,720,800,863,C0
821,804,805,719,800,861,C0
822,812,806,719,799,860,C0
823,791,809,721,801,865,C0
821,802,806,719,800,862,C0
822,814,806,719,800,861,C0
824,793,809,721,801,865,C0
821,800,806,718,799,862,C0
821,813,805,719,799,861,C0
824,795,809,722,801,865,C0
823,798,806,720,800,863,C0
821,813,805,718,799,861,C0
823,800,809,721,801,864,C0
822,794,806,720,799,863,C0
821,810,805,719,798,859,C0
822,803,807,721,800,863,C0
822,792,806,720,799,862,C0
819,808,803,718,797,859,C0
823,805,807,720,800,863,C0
821,789,806,719,800,862,C0
821,806,805,718,799,860,C0
823,810,807,720,799,863,C0
822,790,806,720,800,864,C0
820,803,804,719,798,862,C0
822,811,806,719,799,861,C0
822,790,807,721,800,865,C0
821,803,805,719,797,862,C0
821,812,806,719,798,861,C0
822,791,808,721,800,865,C0
820,799,806,719,799,862,C0
820,811,806,718,798,862,C0
824,795,808,721,800,865,C0
822,797,806,719,799,862,C0
821,812,805,719,798,861,C0
823,798,808,721,800,863,C0
821,793,805,719,798,862,C0
821,811,805,718,798,860,C0
823,802,808,721,799,864,C0
822,791,806,720,799,861,C0
820,810,803,718,797,859,C0
823,804,807,721,799,863,C0
822,790,806,720,799,862,C0
821,807,805,719,798,860,C0
821,807,807,721,799,863,C0
822,791,806,721,799,863,C0
822,805,805,720,798,861,C0
821,811,807,720,799,862,C0
822,790,807,720,799,863,C0
821,800,806,720,798,863,C0
821,811,805,719,797,861,C0
822,790,808,721,799,864,C0
821,800,804,719,798,862,C0
821,812,804,719,797,861,C0
824,797,808,722,800,866,C0
821,799,805,720,798,862,C0
821,813,805,719,798,861,C0
824,798,807,722,800,863,C0
820,795,805,720,798,861,C0
820,811,804,720,797,860,C0
823,800,807,722,799,863,C0
821,792,805,720,797,863,C0
819,810,802,718,796,859,C0
821,802,806,721,799,864,C0
820,791,805,720,797,862,C0
819,806,802,718,797,861,C0
822,806,806,721,797,863,C0
821,790,806,721,798,863,C0
820,804,804,720,797,861,C0
821,810,806,721,797,862,C0
822,790,807,721,798,863,C0
820,802,805,720,797,862,C0
821,809,804,720,796,861,C0
819,787,807,722,799,864,C0
819,800,804,719,797,861,C0
818,810,805,720,797,861,C0
821,790,808,722,799,865,C0
820,798,805,721,797,862,C0
818,810,804,720,797,860,C0
821,794,808,723,799,864,C0
819,794,805,720,797,862,C0
818,810,804,720,797,860,C0
820,796,807,722,798,863,C0
819,792,805,721,797,861,C0
817,809,804,720,797,859,C0
818,797,807,722,797,864,C0
816,788,805,720,797,862,C0
815,803,803,718,796,861,C0
820,802,806,721,797,863,C0
818,788,805,721,797,862,C0
816,803,802,719,796,860,C0
819,805,806,721,797,862,C0
819,787,806,721,797,862,C0
818,802,804,720,796,861,C0
818,808,805,721,797,861,C0
820,788,806,722,798,863,C0
818,799,805,720,796,861,C0
817,809,804,720,796,861,C0
820,789,808,722,798,864,C0
818,797,804,721,796,860,C0
816,808,804,720,796,860,C0
821,792,808,723,799,865,C0
819,794,804,721,797,860,C0
817,809,803,720,796,860,C0
819,793,808,723,798,864,C0
817,791,805,721,796,860,C0
817,808,804,720,796,860,C0
820,796,807,723,798,863,C0
817,789,804,721,796,862,C0
816,806,803,718,795,860,C0
819,799,807,721,796,864,C0
818,788,805,721,796,862,C0
816,802,803,720,795,861,C0
818,802,806,721,796,863,C0
817,786,805,721,797,863,C0
817,801,804,720,796,861,C0
818,806,805,722,797,863,C0
818,785,805,722,797,862,C0
817,800,803,721,796,861,C0
818,808,804,721,795,861,C0
817,786,806,723,798,864,C0
817,798,804,721,796,862,C0
817,808,804,721,796,861,C0
819,789,807,723,797,865,C0
818,796,804,722,796,861,C0
817,808,803,721,796,861,C0
821,793,807,724,797,865,C0
818,791,804,721,795,862,C0
816,807,803,721,795,860,C0
820,795,806,722,797,863,C0
819,791,805,722,796,861,C0
817,806,801,720,794,859,C0
819,799,806,722,796,863,C0
818,788,805,721,796,862,C0
815,803,802,720,795,860,C0
818,800,805,723,797,862,C0
818,785,804,721,796,862,C0
817,802,803,720,795,859,C0
817,805,804,722,796,861,C0
816,787,805,722,796,862,C0
816,800,803,720,795,861,C0
815,806,804,722,795,860,C0
817,786,805,722,796,863,C0
817,798,803,721,796,860,C0
816,805,802,721,795,860,C0
819,786,806,723,797,864,C0
815,795,803,721,794,860,C0
815,807,803,721,795,859,C0
818,789,807,724,797,864,C0
815,792,805,722,795,861,C0
816,809,803,721,795,860,C0
818,792,806,724,796,863,C0
815,791,803,721,796,860,C0
815,806,803,721,794,860,C0
817,794,806,724,795,862,C0
817,788,804,723,795,861,C0
815,805,802,720,793,858,C0
818,798,805,724,796,862,C0
817,786,804,722,796,861,C0
815,802,801,720,793,861,C0
816,801,805,722,796,862,C0
816,785,805,722,795,862,C0
815,800,802,722,794,860,C0
816,803,804,723,795,862,C0
815,783,804,723,795,863,C0
814,796,803,721,794,861,C0
814,805,804,721,795,861,C0
815,784,806,723,796,864,C0
814,795,803,721,795,861,C0
814,805,804,722,795,861,C0
816,785,806,724,797,863,C0
815,793,804,722,795,861,C0
814,806,803,722,794,861,C0
817,789,807,725,796,864,C0
814,790,804,722,794,861,C0
814,805,803,722,794,859,C0
816,792,806,724,795,863,C0
815,786,803,723,795,862,C0
815,806,802,722,794,859,C0
816,794,805,725,796,863,C0
815,785,804,723,795,861,C0
813,804,801,721,793,859,C0
816,798,805,724,795,862,C0
815,784,804,723,795,862,C0
812,799,802,722,794,860,C0
816,801,804,723,795,861,C0
816,784,804,724,795,862,C0
814,799,803,722,794,861,C0
816,804,805,723,796,861,C0
816,783,804,724,795,862,C0
815,797,803,722,795,861,C0
815,806,803,722,794,861,C0
817,786,806,725,795,863,C0
816,796,803,722,794,862,C0
815,807,802,723,794,860,C0
817,787,806,725,796,865,C0
816,793,803,723,795,861,C0
815,807,803,722,793,860,C0
818,791,806,725,796,864,C0
815,790,804,723,794,862,C0
815,806,802,722,794,860,C0
817,794,805,725,795,863,C0
816,788,803,723,795,862,C0
814,803,801,722,793,858,C0
816,797,806,724,795,863,C0
816,787,804,723,794,861,C0
814,802,801,722,793,858,C0
817,800,804,724,795,862,C0
816,785,804,724,795,862,C0
814,798,802,722,794,859,C0
817,803,804,724,796,863,C0
817,785,804,724,795,862,C0
815,799,802,723,794,860,C0
815,805,804,723,794,861,C0
817,784,804,725,795,863,C0
814,797,803,723,794,860,C0
815,806,803,723,795,861,C0
817,786,806,725,796,864,C0
815,794,804,723,794,862,C0
814,805,802,722,794,860,C0
817,789,807,725,795,864,C0
814,791,803,723,794,860,C0
815,806,802,722,794,860,C0
818,792,806,725,796,864,C0
815,788,803,724,794,861,C0
815,807,802,722,794,859,C0
816,794,806,724,796,862,C0
815,786,804,723,794,861,C0
814,804,800,721,793,859,C0
