Thumb,Index,Middle,Ring,Small,Command
518,825,834,740,534,C0
519,823,835,739,535,C0
518,824,835,739,534,C0
518,824,835,740,535,C0
518,824,835,738,535,C0
513,823,835,739,534,C0
510,822,835,739,534,C0
509,823,835,739,534,C0
512,824,834,739,534,C0
512,823,832,739,534,C0
512,822,831,739,534,C0
512,822,831,740,533,C0
513,821,832,740,533,C0
511,820,835,739,534,C0
511,820,836,739,534,C0
509,819,836,739,534,C0
509,819,836,739,534,C0
508,819,837,738,534,C0
508,820,837,739,534,C0
509,820,837,739,533,C0
509,819,838,739,534,C0
509,820,838,739,534,C0
510,820,838,740,534,C0
511,819,838,740,535,C0
512,820,838,740,534,C0
513,820,838,740,534,C0
513,821,836,740,535,C0
513,821,834,740,535,C0
515,821,832,740,535,C0
515,821,832,740,535,C0
517,821,831,740,534,C0
518,821,829,740,534,C0
519,821,828,739,534,C0
520,821,828,739,534,C0
521,823,827,739,534,C0
521,826,827,739,535,C0
522,824,827,739,534,C0
521,821,832,740,532,C0
517,820,834,740,530,C0
514,817,835,739,529,C0
511,812,837,740,528,C0
512,807,837,741,525,C0
511,806,838,741,524,C0
512,803,838,740,523,C0
512,801,839,739,523,C0
513,800,839,738,522,C0
516,807,839,739,526,C0
516,816,838,740,528,C0
515,817,835,739,530,C0
519,818,833,739,531,C0
520,818,832,739,532,C0
521,818,831,739,530,C0
522,819,831,739,529,C0
523,818,831,738,527,C0
522,819,831,739,528,C0
523,818,831,739,528,C0
524,817,831,739,529,C0
522,816,833,739,530,C0
515,815,837,740,527,C0
515,812,837,740,527,C0
517,807,838,738,527,C0
517,799,837,735,526,C0
520,794,838,733,523,C0
521,807,837,739,530,C0
518,818,835,740,509,C0
518,819,833,739,487,C0
521,819,832,739,480,C0
522,819,832,738,484,C0
522,819,832,737,496,C0
524,819,833,738,519,C0
523,820,833,738,530,C0
523,820,833,739,527,C0
522,819,833,739,525,C0
523,820,833,739,525,C0
523,820,833,740,527,C0
525,819,832,740,527,C0
524,820,832,735,521,C0
525,819,831,734,517,C0
526,818,832,730,517,C0
526,818,832,730,516,C0
527,818,832,732,519,C0
527,818,834,734,524,C0
525,818,836,736,524,C0
522,815,838,737,522,C0
519,809,838,738,520,C0
520,801,839,739,519,C0
521,797,840,738,519,C0
522,796,840,738,519,C0
523,795,839,738,519,C0
523,796,840,737,519,C0
524,797,840,737,519,C0
526,804,840,738,520,C0
527,810,839,739,521,C0
515,811,835,739,523,C0
513,815,833,739,523,C0
517,815,832,738,526,C0
522,815,832,736,517,C0
523,814,832,737,517,C0
522,815,831,736,518,C0
521,815,831,737,519,C0
520,815,831,737,521,C0
518,811,836,738,522,C0
518,809,837,738,521,C0
519,804,839,738,519,C0
521,801,838,737,518,C0
522,798,840,735,517,C0
523,794,840,734,516,C0
523,795,839,735,516,C0
525,802,838,738,517,C0
520,811,837,739,521,C0
518,812,836,739,521,C0
514,812,833,738,521,C0
515,813,832,737,512,C0
518,814,831,735,507,C0
524,814,830,734,496,C0
526,813,830,734,495,C0
527,814,829,734,496,C0
526,814,829,734,496,C0
526,815,830,734,498,C0
525,814,830,734,500,C0
521,820,830,735,504,C0
517,819,833,736,510,C0
517,813,836,736,515,C0
522,798,838,736,518,C0
525,796,839,740,518,C0
526,793,840,740,518,C0
527,789,841,741,517,C0
528,784,840,741,518,C0
528,782,840,741,518,C0
530,777,841,741,518,C0
531,779,841,741,518,C0
535,793,840,742,519,C0
534,809,840,739,521,C0
530,810,839,740,520,C0
523,811,838,739,516,C0
513,813,834,738,504,C0
520,815,832,735,495,C0
525,815,831,733,490,C0
527,816,830,733,490,C0
527,816,831,733,491,C0
524,816,831,734,494,C0
523,816,831,734,502,C0
523,816,831,735,511,C0
524,816,832,736,518,C0
524,816,834,738,520,C0
526,818,836,738,520,C0
525,820,836,739,518,C0
527,820,837,739,515,C0
525,822,837,738,517,C0
524,822,837,739,517,C0
527,821,837,741,518,C0
528,820,835,739,520,C0
530,819,833,738,521,C0
529,818,832,738,520,C0
528,818,832,737,504,C0
528,817,831,737,490,C0
528,817,832,737,465,C0
528,817,831,737,463,C0
530,816,832,735,466,C0
529,815,832,735,490,C0
529,817,831,736,508,C0
529,817,832,736,520,C0
529,816,832,736,525,C0
528,816,831,736,524,C0
528,817,832,737,524,C0
530,817,832,737,524,C0
530,816,832,734,526,C0
530,816,831,733,531,C0
531,817,830,732,537,C0
531,815,832,732,541,C0
530,815,831,734,544,C0
530,816,831,734,545,C0
528,815,831,734,545,C0
529,815,831,734,545,C0
527,815,831,734,546,C0
523,815,831,734,545,C0
522,815,832,734,546,C0
520,815,832,734,546,C0
521,816,833,735,546,C0
521,816,833,735,547,C0
523,816,833,735,547,C0
523,816,834,735,547,C0
524,816,835,735,547,C0
523,816,836,736,547,C0
521,816,837,736,547,C0
522,816,837,737,547,C0
522,816,838,737,547,C0
522,815,837,737,547,C0
522,814,838,737,547,C0
521,814,838,737,547,C0
520,814,838,737,547,C0
520,814,838,737,547,C0
520,814,838,737,547,C0
521,814,838,738,548,C0
522,815,837,738,547,C0
522,816,837,738,545,C0
523,816,837,738,544,C0
523,817,835,737,533,C0
524,817,833,737,516,C0
525,817,833,737,499,C0
525,817,833,737,508,C0
525,817,834,736,522,C0
525,817,835,737,534,C0
523,816,836,736,537,C0
522,816,836,737,538,C0
520,815,836,737,538,C0
518,815,835,737,539,C0
518,813,836,737,539,C0
518,813,836,738,538,C0
518,811,836,738,539,C0
519,812,836,738,539,C0
520,813,836,738,539,C0
521,813,837,738,540,C0
521,811,836,738,539,C0
520,810,836,738,539,C0
520,811,836,738,539,C0
520,811,835,737,539,C0
519,812,836,738,539,C0
520,814,836,738,539,C0
519,811,836,738,539,C0
518,810,835,738,539,C0
518,810,834,738,539,C0
518,809,835,739,538,C0
519,809,833,739,539,C0
519,809,833,739,539,C0
520,809,832,739,539,C0
520,810,834,739,539,C0
519,815,833,738,540,C0
519,816,831,738,538,C0
521,814,831,739,532,C0
523,813,830,738,530,C0
524,814,830,738,526,C0
526,814,830,737,525,C0
528,814,830,737,524,C0
530,813,830,737,524,C0
529,814,830,737,525,C0
525,814,830,736,525,C0
522,813,829,736,526,C0
524,813,830,737,528,C0
524,814,830,737,529,C0
522,814,833,738,529,C0
520,813,836,740,529,C0
523,815,837,743,528,C0
526,807,840,745,528,C0
528,796,840,747,527,C0
529,790,840,748,527,C0
530,788,841,749,527,C0
531,788,840,750,528,C0
532,787,841,751,527,C0
533,787,841,751,527,C0
533,788,841,751,527,C0
534,788,841,751,528,C0
536,792,841,752,529,C0
533,798,841,752,530,C0
534,798,841,752,530,C0
532,797,840,751,531,C0
527,795,841,752,531,C0
521,791,840,752,531,C0
517,791,841,751,531,C0
517,790,841,752,531,C0
521,790,840,752,531,C0
523,787,840,752,531,C0
526,789,841,753,532,C0
527,795,840,752,532,C0
527,796,840,752,530,C0
528,803,840,751,531,C0
529,807,840,749,531,C0
527,809,839,749,531,C0
528,813,839,748,530,C0
532,815,838,747,530,C0
535,815,837,746,529,C0
535,816,838,747,528,C0
533,816,838,747,529,C0
528,817,837,747,518,C0
527,817,837,747,513,C0
522,816,835,744,498,C0
512,815,834,743,493,C0
514,815,834,743,491,C0
516,815,833,742,491,C0
517,815,832,742,491,C0
521,815,831,743,503,C0
527,818,831,742,522,C0
532,820,832,742,527,C0
534,820,831,742,527,C0
535,817,831,742,528,C0
537,810,831,743,528,C0
537,800,833,745,528,C0
537,789,837,746,528,C0
538,787,837,747,528,C0
539,790,837,747,529,C0
541,792,837,748,529,C0
542,789,838,748,530,C0
543,790,838,748,530,C0
543,790,838,748,531,C0
542,789,838,749,530,C0
542,797,838,748,529,C0
544,815,834,746,531,C0
539,818,832,744,529,C0
531,816,831,744,523,C0
523,816,830,743,523,C0
514,817,830,743,521,C0
511,817,830,743,520,C0
511,817,829,743,521,C0
512,818,829,743,518,C0
514,817,830,744,518,C0
516,817,830,744,520,C0
525,819,830,743,524,C0
532,820,830,744,524,C0
534,822,830,743,527,C0
535,824,830,743,527,C0
536,825,830,743,527,C0
536,826,830,743,528,C0
537,826,831,743,527,C0
537,826,830,743,527,C0
538,826,830,743,528,C0
538,827,831,743,528,C0
538,827,830,743,528,C0
538,828,830,743,529,C0
540,828,830,742,529,C0
540,827,830,743,529,C0
536,821,830,743,529,C0
529,819,830,743,529,C0
525,819,830,743,529,C0
517,819,829,743,528,C0
516,819,830,743,529,C0
515,819,830,743,528,C0
516,820,829,744,525,C0
517,820,829,742,524,C0
517,819,829,742,518,C0
516,820,828,743,515,C0
517,820,828,742,515,C0
516,820,829,742,516,C0
518,820,828,742,516,C0
517,820,828,741,515,C0
517,820,831,741,515,C0
515,816,830,742,516,C0
516,816,832,742,519,C0
521,815,832,745,521,C0
528,811,833,748,520,C0
532,805,835,750,520,C0
532,800,836,751,520,C0
534,797,836,751,520,C0
535,798,836,751,520,C0
536,797,837,751,521,C0
536,796,836,751,521,C0
537,796,836,751,521,C0
538,794,837,751,520,C0
539,791,837,751,521,C0
539,789,837,751,520,C0
539,786,838,751,520,C0
539,785,837,751,520,C0
539,784,838,751,520,C0
538,780,838,751,521,C0
537,781,839,751,520,C0
538,782,838,751,520,C0
538,782,838,751,520,C0
538,782,839,751,520,C0
538,783,839,751,521,C0
540,786,839,751,521,C0
541,799,838,751,521,C0
539,808,835,749,522,C0
534,811,832,748,522,C0
531,812,831,745,521,C0
524,814,830,742,516,C0
516,814,830,742,515,C0
514,814,829,741,515,C0
514,814,830,741,513,C0
515,814,830,740,512,C0
516,814,831,741,512,C0
519,812,834,741,515,C0
524,808,836,741,517,C0
528,805,838,741,519,C0
530,801,839,742,520,C0
533,790,840,743,520,C0
534,789,840,743,519,C0
535,788,840,744,519,C0
535,788,840,744,520,C0
535,789,840,744,519,C0
535,789,840,744,519,C0
535,790,840,746,520,C0
535,789,841,746,519,C0
535,788,841,746,518,C0
536,787,841,746,518,C0
536,785,841,746,518,C0
537,785,841,746,518,C0
538,786,841,746,518,C0
539,786,841,747,519,C0
538,786,841,746,518,C0
538,786,841,746,518,C0
538,785,841,746,518,C0
538,784,841,746,518,C0
538,784,841,746,518,C0
538,785,841,746,518,C0
538,785,841,746,518,C0
538,786,841,746,518,C0
538,787,841,746,518,C0
539,787,841,746,518,C0
539,787,841,746,518,C0
539,787,841,746,518,C0
540,786,841,746,518,C0
540,786,842,746,518,C0
540,786,841,746,518,C0
539,787,841,746,518,C0
539,788,842,746,518,C0
538,791,841,745,518,C0
538,790,841,745,519,C0
536,786,841,745,518,C0
536,786,841,745,518,C0
536,787,841,745,518,C0
538,787,841,745,518,C0
539,788,841,745,519,C0
540,788,842,745,518,C0
540,788,841,745,519,C0
541,788,842,745,518,C0
541,788,841,745,518,C0
540,788,842,745,518,C0
541,788,842,745,519,C0
539,788,841,745,518,C0
540,788,841,745,518,C0
540,788,842,745,518,C0
540,788,841,745,518,C0
540,787,841,745,518,C0
539,787,841,745,518,C0
539,786,842,745,518,C0
540,786,841,745,518,C0
540,785,841,745,517,C0
541,786,841,745,518,C0
541,786,841,745,518,C0
542,788,841,745,518,C0
541,788,841,745,517,C0
541,788,841,745,517,C0
541,788,842,745,517,C0
541,788,841,745,518,C0
540,788,842,745,517,C0
540,787,841,745,518,C0
540,788,841,745,517,C0
540,788,841,745,517,C0
541,788,841,745,518,C0
541,788,841,745,517,C0
542,788,842,746,518,C0
542,788,842,745,517,C0
542,789,842,745,517,C0
542,788,841,745,517,C0
542,789,841,744,517,C0
542,789,842,745,517,C0
542,789,841,744,517,C0
542,789,841,745,517,C0
541,789,841,745,517,C0
541,789,842,744,517,C0
541,789,841,744,517,C0
542,789,842,744,517,C0
542,789,841,744,517,C0
543,790,841,744,517,C0
543,790,842,744,517,C0
543,791,841,745,517,C0
543,790,841,744,517,C0
543,791,842,744,517,C0
542,790,842,744,517,C0
542,791,842,744,517,C0
542,791,841,744,516,C0
541,790,841,744,517,C0
540,791,841,744,517,C0
541,791,841,744,517,C0
541,792,842,744,516,C0
542,792,842,744,517,C0
542,792,842,744,517,C0
542,792,842,744,516,C0
543,792,842,744,517,C0
543,792,841,744,516,C0
543,792,841,744,516,C0
543,792,841,743,516,C0
543,792,842,744,516,C0
543,793,842,744,516,C0
542,793,842,744,516,C0
542,793,841,744,517,C0
542,793,841,743,517,C0
542,793,841,744,516,C0
542,793,841,743,516,C0
542,793,841,744,517,C0
543,793,841,744,517,C0
543,793,842,744,517,C0
543,793,841,744,517,C0
543,793,841,743,516,C0
543,793,841,743,516,C0
542,793,841,743,516,C0
543,793,841,743,516,C0
542,793,841,744,516,C0
542,793,842,744,516,C0
542,793,841,744,517,C0
542,793,841,743,516,C0
542,794,841,744,516,C0
542,794,841,744,516,C0
543,794,841,744,517,C0
543,794,842,744,517,C0
543,793,842,743,517,C0
543,793,841,743,516,C0
543,794,842,743,516,C0
542,794,842,743,516,C0
543,793,841,743,516,C0
